Target,Planet Name,TSM,ESM (5um),Mass (M_J),Mass (M_E),Radius (R_J),Radius (R_E),T_eq,Star SpT,Star Vmag,Event,Mode,Status,Category,Program,PI Name
TOI-836,TOI-836 c,0.108,0.01,0.0302,9.6,0.231,2.587,665.0,K V,9.92,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-836,TOI-836 c,0.108,0.01,0.0302,9.6,0.231,2.587,665.0,K V,9.92,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-836,TOI-836 c,0.108,0.01,0.0302,9.6,0.231,2.587,665.0,K V,9.92,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-134,L 168-9 b,0.077,0.014,0.01281,4.07,0.145,1.63,998.0,M0.5 V,11.005,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-134,L 168-9 b,0.077,0.014,0.01281,4.07,0.145,1.63,998.0,M0.5 V,11.005,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-134,L 168-9 b,0.077,0.014,0.01281,4.07,0.145,1.63,998.0,M0.5 V,11.005,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-455,LTT 1445 A b,0.162,0.009,0.00859,2.73,0.105,1.18,555.0,M3.0,10.59,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-455-revised,LTT 1445 A b,0.162,0.009,0.00859,2.73,0.105,1.18,555.0,M3.0,10.59,Transit,NIRSPEC.BOTS+G395H,Failed,GO,2512,Batalha
TOI-455-revised,LTT 1445 A b,0.162,0.009,0.00859,2.73,0.105,1.18,555.0,M3.0,10.59,Transit,NIRSPEC.BOTS+G395H,Implementation,GO,2512,Batalha
TOI-175,L 98-59 c,0.166,0.004,0.00698,2.22,0.124,1.385,553.0,M3 V,11.685,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-175,L 98-59 c,0.166,0.004,0.00698,2.22,0.124,1.385,553.0,M3 V,11.685,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-402,HD 15337 b,0.029,0.007,0.02363,7.51,0.146,1.64,1001.0,K1 V,9.1,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-402,HD 15337 b,0.029,0.007,0.02363,7.51,0.146,1.64,1001.0,K1 V,9.1,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
TOI-402,HD 15337 b,0.029,0.007,0.02363,7.51,0.146,1.64,1001.0,K1 V,9.1,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2512,Batalha
KEPLER-51,-,-,-,-,-,-,-,-,-,-,PhaseC,NIRSPEC.BOTS+PRISM,Archived,GO,2571,Libby-Roberts
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Transit,NIRISS.SOSS,Archived,GO,2589,Lim
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Transit,NIRISS.SOSS,Archived,GO,2589,Lim
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Transit,NIRISS.SOSS,Archived,GO,2589,Lim
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Transit,NIRISS.SOSS,Archived,GO,2589,Lim
