Planet,Reference,Status,Geometry,Obs,C/O,C/O Lower,C/O Upper,Metallicity,Metallicity Lower,Metallicity Upper,Metallicity Type,Metallicity Solar,log10 R/V,R/V Lower,R/V Upper,R/V Type,Retrieval Type,Notes,Mass,Mass Lower,Mass Upper,T_eq,T_eq Lower,T_eq Upper,Stellar Metallicity,Stellar Metallicity Lower,Stellar Metallicity Upper,Stellar Mass,Stellar Mass Lower,Stellar Mass Upper
HIP 65 b,Bazinet et al. 2024,Published,Eclipse,Gemini/IGRINS,0.72,0.3,0.13,-0.76,0.48,0.42,(O+C)/H,Solar,,,,,SCARLET,,3.213,0.08,0.08,1411,15,15,0.18,0.08,0.08,0.781,0.027,0.027
HD 209458 b,Verma et al. 2025,In Press,Transit,NIRCAM/F322W2+NIRCam/F444W+HST/WFC3+HST/STIS,0.56,0.12,0.1,0.13,0.16,0.2,O/H,Solar,,,,,SANSAR,Looked at changing O versus C for metallicity and C/O,0.73,0.04,0.04,1469,12,12,0.01,0,0,1.23,0.09,0.09
HD 209458 b,Bachmann et al. 2025,In Press,Transit,NIRCAM/F322W2+NIRCam/F444W+HST/WFC3+HST/STIS,0.054,0.032,0.08,0.1,0.4,0.41,C/H,Solar,,,,,pRT,Did not include STIS data- actually agrees with SANSAR in that case,0.73,0.04,0.04,1469,12,12,0.01,0,0,1.23,0.09,0.09
HD 189733 b,Zhang et al. 2025,Published,Eclipse,NIRCAM/F322W2+NIRCam/F444W,0.43,0.05,0.06,0.68,0.11,0.15,(O+C)/H,Solar,,,,,PLATON 2.0,,1.13,0.08,0.08,1193,11,11,0.02,0,0,0.79,0.08,0.08
HD 189733 b,Zhang et al. 2025,Published,Transit,NIRCAM/F322W2+NIRCam/F444W,0.41,0.12,0.13,0.53,0.12,0.13,(O+C)/H,Solar,,,,,PLATON 2.0,,1.13,0.08,0.08,1193,11,11,0.02,0,0,0.79,0.08,0.08
KELT-20 b,Finnerty et al. 2025,Published,Transit,Keck/KPIC,0.1,0.1,0.4,1,0.7,0.7,(O+C)/H,Solar,,,,,pRT,easychem abundances so direct O/H and C/H; manually updated stellar metallicity with Talens et al,3.382,2,1,2259.47,73,73,-0.02,0.07,0.07,1.76,0.19,0.14
Tau Boo b,Panwar et al. 2024,Published,Eclipse,VLT/CRIRES,0.95,0.31,0.06,-0.21,0.87,1.66,(O+C)/H,Solar,,,,,GENESIS,Free chemistry; guessing at metallicity definition,5.95,0.28,0.28,1682,100,100,0.264,0.02,0.02,1.32,0.185,0.244
Tau Boo b,Panwar et al. 2024,Published,Eclipse,VLT/CRIRES,0.75,0.21,0.26,-0.69,0.62,1.29,(O+C)/H,Solar,,,,,GENESIS,Equilibrium chemistry; guessing at metallicity definition,5.95,0.28,0.28,1682,100,100,0.264,0.02,0.02,1.32,0.185,0.244
WASP-19 b,Saha et al. 2025,Submitted,Eclipse,NIRSpec/PRISM,0.94,0.03,0.03,1.7,0.7,1.2,(O+C)/H,Solar,,,,,pRT,M/H and C/O quoted from free retrieval,1.154,0.08,0.08,2113,29,29,0.04,0.03,0.24,0.97,0.1,0.09
WASP-33 b ,Finnerty et al. 2023,Published,Eclipse,KEck/KPIC,0.8,0.2,0.1,0.74,0.44,0.44,(O+C)/H,Solar,,,,,pRT,From chem eq retrievals; converted range to interval; paper says some resevoirs of O may exist; measured OH though and that is very helpful,2.093,0.14,0.14,2784,41,41,0.1,0.1,0.1,1.653,0.19,0.35
WASP-43 b,Yang et al. 2024,Published,Eclipse,MIRI/LRS,0.8,0.2,0.1,0.2,0.4,0.61,(O+C)/H,Solar,,,,,NEMESIS,Quoted from free retrieval,1.78,0.1,0.1,1379,9,9,-0.05,0.17,0.17,0.58,0.04,0.05
WASP-43 b,Lesjak et al. 2023,Published,Eclipse,VLT/CRIRES+,0.78,0.09,0.09,0.2,0.06,0.07,C/H,Solar,,,,,pRT,,1.78,0.1,0.1,1379,9,9,-0.05,0.17,0.17,0.58,0.04,0.05
WASP-77 A b,Smith et al. 2024,Published,Eclipse,NIRSpec/G395H+Gemini/IGRINS,0.57,0.06,0.06,-0.61,0.09,0.1,C/H,Solar,,,,,CHIMERA,,1.667,0.00045,0.00045,1691,25,25,0,0,0,0.9,0.06,0.07
WASP-94A b,Ahrer et al. 2025,Published,Transit,NIRSpec/G395H,0.49,0.13,0.08,0.34,0.16,0.12,(O+C)/H,Solar,,,,,pRT,Other retrievals agree; quoting value compared to solar at end of 5.1.2,0.5,0.13,0.13,1543,0,0,0.22,0.1,0.1,1.14,0.11,0.19
WASP-189 b,Lesjak et al. 2025,Published,Eclipse,VLT/CRIRES+,0.32,0.14,0.41,1.4,0.6,1.39,O/H,Solar,,,,,Custom,Sets Fe/H also to metallicity I think; Fe and CO only species constrained,1.99,0.14,0.16,2636.36,34,27,0.29,0.13,0.13,2.03,0.07,0.07
WASP-121 b,Pelletier et al. 2025,Submitted,Eclipse,NIRISS/SOSS,0.82,0.09,0.05,1.24,0.35,0.37,(O+C)/H,Solar,0.19,0.16,0.16,(V+Si+Na+K+Fe)/(O+C+N),SCARLET,Using Ag != 0 retrieval,1.157,0.07,0.07,2449,8,8,0.13,0.09,0.09,1.36,0.08,0.08
V1298 Tau b,Barat et al. 2025,Published,Transit,NIRSpec/G395H,0.22,0.05,0.06,0.6,0.6,0.4,(O+C)/H,Solar,,,,,PICASO,Free retrieval results; Large difference in inferred mass compared to RV,0.64,0.19,0.19,668,22,22,0.1,0.15,0.15,1.26,0.06,0.06
WD 0806 b,Voyer et al. 2025,Published,Eclipse,MIRI/LRS,0.34,0.06,0.06,-0.13,0.06,0.07,(O+C)/H,Solar,,,,,TauREx,Metallicity includes N too; uses Asplund 09 abundances,8,2,2,100,0,0,-99,-99,-99,-99,-99,-99
KELT-7 b,Ahrer et al. 2025,In Press,Transit,NIRSpec/G395H,0.585,0.16,0.16,0.93,0.93,0.27,C/H,Solar,,,,,pRT,Also used POSEIDON!,1.39,0.22,0.22,2048,27,27,0.139,0.081,0.075,1.535,0.054,0.066
