Target,Planet Name,TSM,ESM (5um),Mass (M_J),Mass (M_E),Radius (R_J),Radius (R_E),T_eq,Star SpT,Star Vmag,Event,Mode,Status,Category,Program,PI Name
TOI-4010,TOI-4010 d,0.0,0.0,0.12003,38.15,0.551,6.18,650.0,K V,12.291,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,5894,Kunimoto
HAT-P-11,-,-,-,-,-,-,-,-,-,-,Transit,NIRISS.SOSS,FlightReady,GO,5924,Sing
WASP-69,WASP-69 b,0.0,0.0,0.29,92.1707,1.11,12.442,963.0,K5,9.873,Transit,NIRISS.SOSS,FlightReady,GO,5924,Sing
WASP-80,-,-,-,-,-,-,-,-,-,-,Transit,NIRISS.SOSS,Archived,GO,5924,Sing
WASP-94A,WASP-94 A b,0.0,0.0,0.5,158.915,1.58,17.71,1604.0,F8,10.051,Transit,NIRISS.SOSS,Archived,GO,5924,Sing
NGTS-2,NGTS-2 b,0.0,0.0,0.74,235.1942,1.595,17.878,1468.0,F5 V,10.789,Transit,NIRISS.SOSS,FlightReady,GO,5924,Sing
HAT-P-30,HAT-P-30 b,0.0,0.0,0.83,263.7989,1.44,16.141,1630.0,F7,10.352,Transit,NIRISS.SOSS,FlightReady,GO,5924,Sing
KELT-7,KELT-7 b,0.0,0.0,1.39,441.7837,1.6,17.934,2048.0,F,8.56,Transit,NIRISS.SOSS,FlightReady,GO,5924,Sing
HAT-P-1,HAT-P-1 b,0.0,0.0,0.525,166.86075,1.319,14.785,1322.0,G0 V,9.827,Transit,NIRSPEC.BOTS+G395H,Implementation,GO,5924,Sing
WASP-63,WASP-63 b,0.087,0.247,0.37,117.5971,1.41,15.805,1470.0,nan,11.155,Transit,NIRSPEC.BOTS+G395H,Implementation,GO,5924,Sing
HATS-72,-,-,-,-,-,-,-,-,-,-,Transit,NIRSPEC.BOTS+PRISM,Implementation,GO,5924,Sing
WASP-6,WASP-6 b,0.59,0.744,0.37,117.5971,1.03,11.545,1184.0,nan,11.907,Transit,NIRSPEC.BOTS+PRISM,Implementation,GO,5924,Sing
WASP-19,WASP-19 b,0.213,0.008,1.154,366.77398,1.415,15.861,2113.0,G8 V,12.248,Transit,NIRSPEC.BOTS+PRISM,Implementation,GO,5924,Sing
WASP-12,WASP-12 b,0.213,0.008,1.465,465.62095,1.937,21.712,2593.0,nan,11.569,Transit,NIRSPEC.BOTS+PRISM,Implementation,GO,5924,Sing
